facultad_dep|programa_dep|nivelacad_dep|periodo_actualizacion_segsem|porc_eval_total|porc_eval_prog_conf|porc_eval_prog_sin_conf|date_bkp|semestre_materalum
25|50548|POSGRADO|2022-07-25|71.42857142857143|57.142857142857146|14.285714285714286|zFeDymrnBQ|20171
90|90104|E-FLEXIB|2022-07-25|94.73684210526316|93.15789473684211|1.5789473684210527|zFeDymrnBQ|20171
55|387|PREGRADO|2022-07-25|100.0|97.94117647058823|2.0588235294117645|zFeDymrnBQ|20171
9|311|PREGRADO|2022-07-25|97.72727272727273|97.72727272727273|0.0|zFeDymrnBQ|20171
