programa|tipoprog|facultad|nlfac|nlprog|nlprog_mod|codigoprog|sede_principal|ismovilidad|isudearroba|nivelacad|estado_en_la_Univer|estado_en_el_Progr|nro_estudiantes|semestre
60017|MAESTRIA|20|FACULTAD DE EDUCACIÓN|MAEST EN EDUC: PEDAGOG SISTEM SIMBOL Y DIVERSIDAD CULTURAL|Maestría en educación: Pedagogía sistem simbólicos y diversidad cultural, Línea pedagogía, Sistemas simbólicos y diversidad cultural|60017|MEDELLIN|0|0|POSGRADO|desertor|desertor programa|4|20022
60017|MAESTRIA|20|FACULTAD DE EDUCACIÓN|MAEST EN EDUC: PEDAGOG SISTEM SIMBOL Y DIVERSIDAD CULTURAL|Maestría en educación: Pedagogía sistem simbólicos y diversidad cultural, Línea pedagogía, Sistemas simbólicos y diversidad cultural|60017|MEDELLIN|0|0|POSGRADO|desertor|desertor programa|4|20022
60017|MAESTRIA|20|FACULTAD DE EDUCACIÓN|MAEST EN EDUC: PEDAGOG SISTEM SIMBOL Y DIVERSIDAD CULTURAL|Maestría en educación: Pedagogía sistem simbólicos y diversidad cultural, Línea pedagogía, Sistemas simbólicos y diversidad cultural|60017|MEDELLIN|0|0|POSGRADO|desertor|desertor programa|4|20022
60017|MAESTRIA|20|FACULTAD DE EDUCACIÓN|MAEST EN EDUC: PEDAGOG SISTEM SIMBOL Y DIVERSIDAD CULTURAL|Maestría en educación: Pedagogía sistem simbólicos y diversidad cultural, Línea pedagogía, Sistemas simbólicos y diversidad cultural|60017|MEDELLIN|0|0|POSGRADO|desertor|desertor programa|4|20022
